State,District Name,School Name
Texas,SEALY ISD,Selman Int
Texas,BRAZOS ISD,Brazos High School 
Texas,BRAZOS ISD,Brazos Middle
Texas,BRAZOS ISD,Brazos Elementary
Texas,BRAZOS ISD,Prairie Harbor Alternative School
Texas,MULESHOE ISD,Muleshoe High School 
Texas,MULESHOE ISD,P E P
Texas,MULESHOE ISD,Watson Junior High
Texas,MULESHOE ISD,Mary Deshazo Elementary
Texas,MULESHOE ISD,Dillman Elementary
Texas,MEDINA ISD,Medina School
Texas,BANDERA ISD,Bandera High School 
Texas,BANDERA ISD,Bandera Middle
Texas,BANDERA ISD,Alkek Elementary
Texas,BANDERA ISD,Hill Country Elementary
Texas,BASTROP ISD,Bastrop High School 
Texas,BASTROP ISD,Cedar Creek High School 
Texas,BASTROP ISD,Colorado River Collegiate Academy
Texas,BASTROP ISD,Genesis High School 
Texas,BASTROP ISD,Gateway Sch
Texas,BASTROP ISD,Bastrop Middle
Texas,BASTROP ISD,Emile Elementary
Texas,BASTROP ISD,Mina Elementary
Texas,BASTROP ISD,Cedar Creek Elementary
Texas,BASTROP ISD,Bastrop Int
Texas,BASTROP ISD,Cedar Creek Middle
Texas,BASTROP ISD,Red Rock Elementary
Texas,BASTROP ISD,Cedar Creek Int
Texas,BASTROP ISD,Bluebonnet Elementary
Texas,BASTROP ISD,Lost Pines Elementary
Texas,ELGIN ISD,Elgin High School 
Texas,ELGIN ISD,Bastrop County Juvenile Boot Camp
Texas,ELGIN ISD,Phoenix High School 
Texas,ELGIN ISD,Elgin Middle
Texas,ELGIN ISD,Booker T Washington Elementary
Texas,ELGIN ISD,Elgin Elementary
Texas,ELGIN ISD,Neidig Elementary
Texas,SMITHVILLE ISD,Smithville High School 
Texas,SMITHVILLE ISD,Bastrop County Juvenile Boot Camp
Texas,SMITHVILLE ISD,Smithville Junior High
Texas,SMITHVILLE ISD,Smithville Elementary
Texas,SMITHVILLE ISD,Brown Primary
Texas,MCDADE ISD,Mcdade High School 
Texas,MCDADE ISD,Mcdade Elementary
Texas,SEYMOUR ISD,Seymour High School 
Texas,SEYMOUR ISD,Seymour Middle
Texas,SEYMOUR ISD,Seymour Elementary
Texas,ST MARY'S ACADEMY CHARTER SCHOOL,St Mary'S Academy Charter School
Texas,BEEVILLE ISD,A C Jones High School 
Texas,BEEVILLE ISD,Moreno Junior High
Texas,BEEVILLE ISD,The Joe Barnhart Academy
Texas,BEEVILLE ISD,R A Hall Elementary
Texas,BEEVILLE ISD,Fadden-Mckeown-Chambliss Elementary
Texas,BEEVILLE ISD,Thomas Jefferson Int
Texas,BEEVILLE ISD,Hampton-Moreno-Dugat Early Childhood Center
Texas,PAWNEE ISD,Pawnee Elementary / Junior High
Texas,PETTUS ISD,Pettus Secondary
Texas,PETTUS ISD,Pettus Elementary
Texas,SKIDMORE-TYNAN ISD,Skidmore-Tynan High School 
Texas,SKIDMORE-TYNAN ISD,Skidmore-Tynan Junior High
Texas,SKIDMORE-TYNAN ISD,Skidmore-Tynan Elementary
Texas,RICHARD MILBURN ALTER HIGH SCHOOL (KILLEEN),Richard Milburn Alter High School  (Killeen)
Texas,RICHARD MILBURN ALTER HIGH SCHOOL (KILLEEN),Richard Milburn Academy Odessa
Texas,RICHARD MILBURN ALTER HIGH SCHOOL (KILLEEN),Richard Milburn Academy Midland
Texas,RICHARD MILBURN ALTER HIGH SCHOOL (KILLEEN),Richard Milburn Academy Lubbock
Texas,RICHARD MILBURN ALTER HIGH SCHOOL (KILLEEN),Richard Milburn Academy Houston (Suburban)
Texas,RICHARD MILBURN ALTER HIGH SCHOOL (KILLEEN),Richard Milburn Academy Fort Worth
Texas,RICHARD MILBURN ALTER HIGH SCHOOL (KILLEEN),Richard Milburn Academy Corpus Christi
Texas,RICHARD MILBURN ALTER HIGH SCHOOL (KILLEEN),Richard Milburn Academy Amarillo
Texas,RICHARD MILBURN ALTER HIGH SCHOOL (KILLEEN),Richard Milburn Academy Pasadena
Texas,RICHARD MILBURN ALTER HIGH SCHOOL (KILLEEN),Richard Milburn Academy Midland South
Texas,PRIORITY CHARTER SCHOOLS,Georgetown Charter Academy
Texas,PRIORITY CHARTER SCHOOLS,Cove Charter Academy
Texas,PRIORITY CHARTER SCHOOLS,Cedar Park Charter Academy
Texas,PRIORITY CHARTER SCHOOLS,Temple Charter Academy
Texas,ORENDA CHARTER SCHOOL,New Horizons
Texas,ORENDA CHARTER SCHOOL,Gateway Tech High School 
Texas,ORENDA CHARTER SCHOOL,Gateway College Preparatory School
